,,,,,,,,,
Anzahl,GUID,NameDeutsch,DCL,ItemTyp,ausgerüstet in,Beeinflusst Gebäude,Buffs,Expedition,Seltenheit
,Kultur Items,,,,,,,,
0,112730,Paranussbaum,Botanica,CultureItem,Botanischer Garten,AMAZONAS,Attraktivität(50) ,,Legendär
0,112612,Riesenseerose,Botanica,CultureItem,Botanischer Garten,AMAZONAS,Attraktivität(30) ,,Selten
0,112731,Metaxya-Farn,Botanica,CultureItem,Botanischer Garten,AMAZONAS,Attraktivität(30) ,,Selten
0,114381,Rote Schlauchpflanze,Botanica,CultureItem,Botanischer Garten,AMAZONAS,Attraktivität(30) ,,Selten
0,114658,Affenleiter,Botanica,CultureItem,Botanischer Garten,AMAZONAS,Attraktivität(30) ,,Selten
0,111120,Kautschukbaum,Botanica,CultureItem,Botanischer Garten,AMAZONAS,Attraktivität(20) ,,Ungewöhnlich
0,111119,Guayacan de Manizales,Botanica,CultureItem,Botanischer Garten,ANDEN,Attraktivität(20) ,,Selten
0,114383,Espeletia,Botanica,CultureItem,Botanischer Garten,ANDEN,Attraktivität(30) ,,Selten
0,114385,Riesenbromelie,Botanica,CultureItem,Botanischer Garten,ANDEN,Attraktivität(30) ,,Selten
0,114538,Roter Fingerhut,Botanica,CultureItem,Botanischer Garten,HEILEND,Attraktivität(10) ,Expedition: Heilkunst (5) ,Gewöhnlich
0,114539,Löwenzahn,Botanica,CultureItem,Botanischer Garten,HEILEND,Attraktivität(10) ,Expedition: Heilkunst (5) ,Gewöhnlich
0,114542,Pfefferminze,Botanica,CultureItem,Botanischer Garten,HEILEND,Attraktivität(10) ,Expedition: Heilkunst (5) ,Gewöhnlich
0,111108,Lotusblume 'Angel Wings',Botanica,CultureItem,Botanischer Garten,HEILIG,Attraktivität(40) ,,Episch
0,112728,Banyan-Feige,Botanica,CultureItem,Botanischer Garten,HEILIG,Attraktivität(50) ,Expedition: Glaube (50) ,Legendär
0,111115,Japanische Blütenkirsche,Botanica,CultureItem,Botanischer Garten,HEILIG,Attraktivität(20) ,,Ungewöhnlich
0,114387,Sternjasmin,Botanica,CultureItem,Botanischer Garten,HEILIG,Attraktivität(20) ,Expedition: Glaube (10) ,Ungewöhnlich
